gene,mean_rpkm,median_rpkm,n_mutated_samples,mut_freq,n_altered,cna_dir,rna_dir,concordance,concordant,expressed,frac_outlier,transcriptomic,cna_burden,genomic,score
TRAF3IP3,3.6517793103448275,2.4069,0,0.0,33.0,0.6666666666666666,0.5050752969696969,concordant_up,True,True,0.10837438423645321,0.10837438423645321,0.13924050632911392,0.6973822872318004,0.939023220111303
GPX4,63.451028078817735,50.9769,0,0.0,37.0,-0.6756756756756757,-0.11142289479562209,concordant_down,True,True,0.06896551724137931,0.06896551724137931,0.15822784810126583,0.7153079290140371,0.9387833429284207
WDR20,3.5700921182266048,3.0777,0,0.0,35.0,0.7142857142857143,0.14087795586527285,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.15822784810126583,0.7153079290140371,0.9387833429284207
TAGAP,21.156549261083743,16.0435,0,0.0,32.0,0.6875,0.5374359126984124,concordant_up,True,True,0.09852216748768473,0.09852216748768473,0.13924050632911392,0.6973822872318004,0.9385434657455383
BTBD9,1.392542857142857,1.2921,0,0.0,28.0,0.7857142857142857,0.4589492307692308,concordant_up,True,True,0.09359605911330049,0.09359605911330049,0.13924050632911392,0.6973822872318004,0.9380637113797736
NENF,16.982091625615762,13.6913,0,0.0,33.0,0.696969696969697,0.6181933090909091,concordant_up,True,True,0.07389162561576355,0.07389162561576355,0.14556962025316456,0.7064452219365173,0.9376079447322971
TRAF5,5.760212315270935,3.9312,0,0.0,33.0,0.696969696969697,0.41010446060606065,concordant_up,True,True,0.07389162561576355,0.07389162561576355,0.14556962025316456,0.7064452219365173,0.9376079447322971
BRPF3,12.565712315270934,11.5237,0,0.0,29.0,0.7931034482758621,0.618988184977279,concordant_up,True,True,0.07389162561576355,0.07389162561576355,0.14556962025316456,0.7064452219365173,0.9376079447322971
CCDC167,24.540622660098528,17.5059,0,0.0,29.0,0.7931034482758621,0.3059130179096498,concordant_up,True,True,0.07389162561576355,0.07389162561576355,0.14556962025316456,0.7064452219365173,0.9376079447322971
SNX9,16.621874876847297,9.3721,0,0.0,32.0,0.6875,0.1623390873015873,concordant_up,True,True,0.08374384236453201,0.08374384236453201,0.13924050632911392,0.6973822872318004,0.9352811360583382
SAE1,24.81384581280787,21.0868,1,0.006666666666666667,27.0,-0.5185185185185185,0.02150152671755727,buffered,False,True,0.059113300492610835,0.059113300492610835,0.08860759493670886,0.8830249125321419,0.9348013816925733
FURIN,40.68287536945814,33.8388,2,0.013333333333333334,19.0,-0.6842105263157895,0.39866698220371066,discordant,False,True,0.059113300492610835,0.059113300492610835,0.08227848101265822,0.8779243771866965,0.9346094799462674
RBM17,27.40808325123152,25.4753,0,0.0,24.0,1.0,-0.11732649253731336,discordant,False,True,0.06896551724137931,0.06896551724137931,0.1518987341772152,0.7113560679509336,0.9341777010170793
NFKBIE,10.717323152709366,8.61,0,0.0,27.0,0.8888888888888888,0.6790999999999998,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.1518987341772152,0.7113560679509336,0.9341777010170793
LNPEP,6.4437044334975395,5.7125,1,0.006666666666666667,15.0,0.8,-0.21425193473193468,discordant,False,True,0.059113300492610835,0.059113300492610835,0.0759493670886076,0.8597142014079164,0.9337219343696028
HLA-DRB5,109.44940738916253,60.9099,1,0.006666666666666667,61.0,0.19672131147540983,0.08139714382288324,buffered,False,True,0.059113300492610835,0.059113300492610835,0.0759493670886076,0.8597142014079164,0.9337219343696028
ELF1,76.2629369458128,61.9767,1,0.006666666666666667,11.0,-1.0,0.18683055040197893,discordant,False,True,0.059113300492610835,0.059113300492610835,0.06962025316455696,0.848185305399823,0.9330502782575321
HAAO,2.0209517241379307,1.4806,1,0.006666666666666667,12.0,-0.9166666666666666,0.24669726027397254,discordant,False,True,0.059113300492610835,0.059113300492610835,0.06962025316455696,0.848185305399823,0.9330502782575321
TATDN3,2.3652699507389165,2.1196,0,0.0,32.0,0.6875,0.24484608134920635,concordant_up,True,True,0.07881773399014778,0.07881773399014778,0.13924050632911392,0.6973822872318004,0.932426597582038
DYNLT1,17.89996650246306,15.826,0,0.0,32.0,0.6875,-0.13007182539682532,discordant,False,True,0.07881773399014778,0.07881773399014778,0.13924050632911392,0.6973822872318004,0.932426597582038
TREML2,2.066747783251232,1.5871,0,0.0,28.0,0.7857142857142857,0.3820071428571428,concordant_up,True,True,0.07881773399014778,0.07881773399014778,0.13924050632911392,0.6973822872318004,0.932426597582038
ZNF551,2.9788152709359625,2.5035,1,0.006666666666666667,20.0,-0.5,-0.10629217391304353,concordant_down,True,True,0.059113300492610835,0.059113300492610835,0.06329113924050633,0.8305758125026346,0.9322586835540203
MAP3K2,14.506903940886712,13.1622,1,0.006666666666666667,14.0,-0.7142857142857143,0.24681636904761897,discordant,False,True,0.059113300492610835,0.059113300492610835,0.06329113924050633,0.8305758125026346,0.9322586835540203
MAPK6,13.990115763546791,12.7218,1,0.006666666666666667,17.0,-0.5882352941176471,0.0028675427617856045,buffered,False,True,0.059113300492610835,0.059113300492610835,0.06329113924050633,0.8305758125026346,0.9322586835540203
KAT6A,32.53224137931035,27.6934,1,0.006666666666666667,16.0,0.625,0.16424234154929565,concordant_up,True,True,0.059113300492610835,0.059113300492610835,0.06329113924050633,0.8305758125026346,0.9322586835540203
APOE,2.429973399014777,2.0401,2,0.013333333333333334,22.0,-0.4090909090909091,-0.1546878342245989,concordant_down,True,True,0.059113300492610835,0.059113300492610835,0.056962025316455694,0.8154638957973275,0.9318508923431204
